,ENFP,ENFJ,ESTJ,ESFJ,ESTP,ESFP,ENTJ,ENTP,INFP,INTP,INFJ,INTJ,ISFP,ISTP,ISFJ,ISTJ
0,day,isfp,puppy,skz,dancer,04,new,93,philippine,jinhwan,new,ten,isf,amp,esfp,admins
1,sam,nj,spade,nurturing,position,lf,put,rara,stans,junhoe,moot,new,caius,hi,fact,according
2,sinb,filo,ace,hehim,mbti,creativity,become,rice,svt,yunhyeong,looking,infj,genshinpjsk,blackpink,fun,isfp
3,interactive,ribbon,number,finding,south,newjeans,like,heitthey,weather,restarting,mbti,personalityloudly,day,bar,know,enfj
4,bobby,hi,exo,sheher,rapper,looking,add,found,hello,enfp,bffs,literal,jelli,sheher,day,moot
5,sheher,looking,page,main,moot,itzy,face,add,put,lina,amp,orv,active,fandom,moot,intp
6,face,sheher,gtㅅlt,future,11th,artistic,character,character,amp,gg,reset,face,jeongin,hot,dive,looking
7,chanwoo,mbti,always,new,april,mbti,amp,friend,fandom,hi,kofi,hi,15,atenjay,new,chant
8,yunhyeong,bobby,baekhyuns,looking,looking,1er,jihoons,hi,day,interactive,esfp,wayv,trixx,welcomed,preferably,bobby
9,jinhwan,moot,kyoong,interactive,bg,aespa,bringing,uid,add,stan,fun,put,ltlt,casuals,sheher,im
10,passport,chanwoo,050623,14,p1ece,stayc,intj,new,character,lizzie,fact,sauropod,sky,lesseraf,looking,chanwoo
11,ikon,ikon,mbti,ace,im,kep,brain,looking,hi,new,know,faceewe,hi,mbti,extrovert,ikon
12,donghyuk,junhoe,today,im,train,hethey,palette,xh,sheher,day,extrovert,yangyang,new,yori,thai,yunhyeong
13,junhoe,jinhwan,thank,izzie,korea,nmixx,table,young,interactive,stanlist,isfj,add,mbti,beverage,unit,passport
14,moot,donghyuk,mama,suit,jung,moot,brawn,moot,new,sheher,im,moot,sheher,interactive,aranya,donghyuk
15,looking,passport,gt_lt,demiboy,lyon,lsfm,savvy,mbti,mbti,mbti,unit,character,interactive,new,doyoung,junhoe
16,new,yunhyeong,bgm,gepard,kaden,im,entjartist,gaon,moot,moot,doyoung,looking,moot,moot,jaehyun,jinhwan
17,mbti,enfp,estj,heart,2007,sean,mbti,youngk,looking,looking,jaehyun,mbti,looking,looking,im,enfp
18,im,im,lucky,moot,ahyeon,herb,im,im,im,im,infj,im,im,im,jungwoo,mbti
19,enfp,enfj,exol,esfj,estp,esfp,entj,entp,infp,intp,jungwoo,intj,isfp,istp,isfj,istj
