,user_id,user_screen_name,user_name,sentences,personality_type
0,40490298,Vivi_Cir,Vivicir♠️,['monday mental breakdown leo rising nail broke cry faceupsidedown face sparklesbeating heartflying saucer'],ENFP
1,1652690528247648256,nrkrtc,ً,['day 1 headphone hi im arlea looking interactive acc recent new new sh'],ENFP
2,1541250267261579264,_simplyksn,ً haerin day.,['day 2 restarting hi im ally looking interactive moot new sheher 08'],ENFP
3,1562009522654572544,mamihleon,txtfromaya,['another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e'],ENFP
4,1414394740762550278,namjoonhcrts,ember 🍓 / D-12 UNTIL BDAY!!,['day hi im naomi amp im looking interactive fil eng post using fil eng minor enfp new'],ENFP
5,1037525239704510464,PKook87,"❤️산's Amanda, Misses her 산🥺",['another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e'],ENFP
6,1417409723008098308,jslauren_,HAECHAN MY BABY I MISS YOU,['another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e'],ENFP
7,52661489,uwheetler,𝕦𝕨𝕚𝕖𝕪𝕦𝕝𝕚𝕒𝕟𝕒,['another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e'],ENFP
8,1449476081090654209,mochamarichat,MARICHAT MAY,['ellie enfp amazing'],ENFP
9,1381539504712912896,chanheesredhair,sha,['day 1 headphone hi im arlea looking interactive acc recent new new sh'],ENFP
10,1407521305960747014,yochiwifey,issa-,['day 1 headphone hi im arlea looking interactive acc recent new new sh'],ENFP
11,1407521305960747014,yochiwifey,issa-,['day 1 white heart hii im new im ella eety pronoun sheher im france im 14yo im enfp'],ENFP
12,1201514512324517888,prentwt,Pren,['intj closest one surprisingly enfp'],ENFP
13,1426415368206049280,smileyemzeyy,callmevii,['imagine chaotic duo would bethe enfp duo'],ENFP
14,1414283374009651201,matlyfaqualcosa,mati mati (percy's version),['add mbti put 4 character mbti enfp campaigner'],ENFP
15,1426415368206049280,smileyemzeyy,callmevii,['enfp duo white heart art artist'],ENFP
16,1641484091848818695,JayChangslay,Q🌷| WHO’s leehan fish?,['never know anything abt mbti im enfp mbti compatible enfp tell need knowfolded hand'],ENFP
17,590727987,shenjoy_,Shen✨,['add mbti put 4 character mbti enfp'],ENFP
18,878746256390180865,cuntresslee,edona mina girl,['give entp enfp vibe im crisis'],ENFP
19,1380193066242301957,ENFP_Hoops,ENFP Hoops 🏀,['yessirskiiicrossed finger mediumdark skin tonetwo heartstwo heart'],ENFP
20,1654462556596228096,kremeluv,kali •||BABY HAERIN DAY!!,['day hi im naomi amp im looking interactive fil eng post using fil eng minor enfp new'],ENFP
21,1325264704084697092,kkyoontangerine,latté⁷,['another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e'],ENFP
22,1579218323769888768,RuuDanmei,Ruu,['add mbti put 4 character type im enfp pretty obvious imo lol'],ENFP
23,1380193066242301957,ENFP_Hoops,ENFP Hoops 🏀,['next couple day rough cut disappointed face want skip ahead friday'],ENFP
